t_name,M_bar,S,MS
mRNA:RchiOBHmChr1g0314821,0.3915434808577202,1.0,0.3915434808577202
mRNA:RchiOBHmChr1g0314871,0.21317699275652513,-1.0,-0.21317699275652513
mRNA:RchiOBHmChr1g0326551,0.18829180598722994,-1.0,-0.18829180598722994
mRNA:RchiOBHmChr1g0329541,0.15120814737327648,-1.0,-0.15120814737327648
mRNA:RchiOBHmChr1g0333261,0.33662795068578466,1.0,0.33662795068578466
mRNA:RchiOBHmChr1g0333361,0.28417209365938434,-1.0,-0.28417209365938434
mRNA:RchiOBHmChr1g0334381,0.2824917859552845,1.0,0.2824917859552845
mRNA:RchiOBHmChr1g0334721,0.20351266088662112,1.0,0.20351266088662112
mRNA:RchiOBHmChr1g0339361,0.2822428065645605,1.0,0.2822428065645605
mRNA:RchiOBHmChr1g0340091,0.11058540363948911,-1.0,-0.11058540363948911
mRNA:RchiOBHmChr1g0348931,0.19558401131863007,-1.0,-0.19558401131863007
mRNA:RchiOBHmChr1g0359311,0.23868838006126272,-1.0,-0.23868838006126272
mRNA:RchiOBHmChr1g0361871,0.1870272411097996,1.0,0.1870272411097996
mRNA:RchiOBHmChr1g0361891,0.48300693451582977,1.0,0.48300693451582977
mRNA:RchiOBHmChr1g0362291,0.28369434243740305,1.0,0.28369434243740305
mRNA:RchiOBHmChr1g0364021,0.24915083550220368,1.0,0.24915083550220368
mRNA:RchiOBHmChr1g0366321,0.14490535765962023,-1.0,-0.14490535765962023
mRNA:RchiOBHmChr1g0370251,0.40669254767953156,-1.0,-0.40669254767953156
mRNA:RchiOBHmChr1g0371291,0.11491777421956208,-1.0,-0.11491777421956208
mRNA:RchiOBHmChr1g0372241,0.4825340818051966,-1.0,-0.4825340818051966
mRNA:RchiOBHmChr1g0373841,0.32451821322399343,1.0,0.32451821322399343
mRNA:RchiOBHmChr1g0373911,0.19825904646219697,-1.0,-0.19825904646219697
mRNA:RchiOBHmChr1g0377631,0.21103433115892126,-1.0,-0.21103433115892126
mRNA:RchiOBHmChr1g0377891,0.1432323220890869,1.0,0.1432323220890869
mRNA:RchiOBHmChr1g0378151,0.3771125500556742,1.0,0.3771125500556742
mRNA:RchiOBHmChr1g0379411,0.16874380210691484,-1.0,-0.16874380210691484
mRNA:RchiOBHmChr1g0381091,0.1365535089938935,1.0,0.1365535089938935
mRNA:RchiOBHmChr2g0087201,0.21639451759571848,-1.0,-0.21639451759571848
mRNA:RchiOBHmChr2g0087211,0.2297442340836841,-1.0,-0.2297442340836841
mRNA:RchiOBHmChr2g0091961,0.11114456219893573,-1.0,-0.11114456219893573
mRNA:RchiOBHmChr2g0093571,0.3777053266006217,-1.0,-0.3777053266006217
mRNA:RchiOBHmChr2g0093701,0.49796868044727793,-1.0,-0.49796868044727793
mRNA:RchiOBHmChr2g0094331,0.394520259177015,-1.0,-0.394520259177015
mRNA:RchiOBHmChr2g0097821,0.11797966546989662,1.0,0.11797966546989662
mRNA:RchiOBHmChr2g0097951,0.18741372338734077,-1.0,-0.18741372338734077
mRNA:RchiOBHmChr2g0104811,0.23146225994041233,-1.0,-0.23146225994041233
mRNA:RchiOBHmChr2g0108511,0.13854157368900377,-1.0,-0.13854157368900377
mRNA:RchiOBHmChr2g0110221,0.23197229904533928,-1.0,-0.23197229904533928
mRNA:RchiOBHmChr2g0120131,0.27520849566452105,-1.0,-0.27520849566452105
mRNA:RchiOBHmChr2g0123781,0.5138523393406705,-1.0,-0.5138523393406705
mRNA:RchiOBHmChr2g0124691,0.12688659502175348,-1.0,-0.12688659502175348
mRNA:RchiOBHmChr2g0126741,0.5361527387754492,-1.0,-0.5361527387754492
mRNA:RchiOBHmChr2g0128331,0.1446131332346029,-1.0,-0.1446131332346029
mRNA:RchiOBHmChr2g0131271,0.46579894756810175,-1.0,-0.46579894756810175
mRNA:RchiOBHmChr2g0132371,0.14292649888755088,-1.0,-0.14292649888755088
mRNA:RchiOBHmChr2g0133001,0.43498432615035815,-1.0,-0.43498432615035815
mRNA:RchiOBHmChr2g0136311,0.4195653860519972,1.0,0.4195653860519972
mRNA:RchiOBHmChr2g0136951,0.11059115643989818,1.0,0.11059115643989818
mRNA:RchiOBHmChr2g0140011,0.14974729310752027,-1.0,-0.14974729310752027
mRNA:RchiOBHmChr2g0148101,0.541816816393696,-1.0,-0.541816816393696
mRNA:RchiOBHmChr2g0150351,0.2873804890240549,-1.0,-0.2873804890240549
